time_key,col,auc,n
201802,woe_dti,0.5285810129845779,2057
201803,woe_dti,0.5384378286782752,2118
201804,woe_dti,0.5460333642261352,2050
201805,woe_dti,0.5101658099122758,1979
201806,woe_dti,0.5509985647057998,1456
201807,woe_dti,0.5304635726730568,1282
201808,woe_dti,0.6290705800139763,1044
201809,woe_dti,0.57162401416385,711
201810,woe_dti,0.41739894551845347,597
201811,woe_dti,0.5190274841437632,482
201812,woe_dti,0.5903133903133903,356
201601,woe_revolUtil,0.5498883247959541,8316
201602,woe_revolUtil,0.5479882555637262,10254
201603,woe_revolUtil,0.5502292813697278,14575
201604,woe_revolUtil,0.544997270990065,7093
201605,woe_revolUtil,0.5458576479639075,5261
201606,woe_revolUtil,0.547650054252023,6098
201607,woe_revolUtil,0.5512993711287852,6453
201608,woe_revolUtil,0.5585271195439885,6697
201609,woe_revolUtil,0.5617265122885076,5029
201610,woe_revolUtil,0.5455922143028384,5582
201611,woe_revolUtil,0.5455189279901502,5713
201612,woe_revolUtil,0.55924112098734,5890
201701,woe_revolUtil,0.5847459262320467,4876
201702,woe_revolUtil,0.5699908780525945,4060
201703,woe_revolUtil,0.5718819776714513,4988
201704,woe_revolUtil,0.5935617891233588,3881
201705,woe_revolUtil,0.5809717950405211,4871
201706,woe_revolUtil,0.5604283204101044,4553
201707,woe_revolUtil,0.571106217546149,4366
201708,woe_revolUtil,0.5642793138628429,4610
201709,woe_revolUtil,0.5690859469591412,3963
201710,woe_revolUtil,0.5750264668831971,3576
201711,woe_revolUtil,0.5535441768594486,3636
201712,woe_revolUtil,0.5253624576866578,2909
201801,woe_revolUtil,0.5566648657572073,2629
201802,woe_revolUtil,0.5532669455772747,2057
201803,woe_revolUtil,0.551331512212224,2118
201804,woe_revolUtil,0.5500077232004943,2050
201805,woe_revolUtil,0.556071722914455,1979
201806,woe_revolUtil,0.5542042890380722,1456
201807,woe_revolUtil,0.5591638111179539,1282
201808,woe_revolUtil,0.5941183321686466,1044
201809,woe_revolUtil,0.6056789527335158,711
201810,woe_revolUtil,0.6183467235751946,597
201811,woe_revolUtil,0.5864458538877144,482
201812,woe_revolUtil,0.7467236467236467,356
